"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"VAAX2028454","RES","CLS","1411 E Abingdon Dr #4","Alexandria","Alexandria City, VA","0","1","Unit/Flat/Apartment","12/27/23","$255,000","$255,000.00","","HARBOR TERRACE","","0","1","","","No Pool","$463.64","1.00000","1.000","'Weichert, REALTORS","550","1944","22314","HARBOR TERRACE","80","$255,000","550","53","Donnan C. C Wintermute","Lisa M Koch","Coldwell Banker Realty (CBRB54)"
"VAAX2023712","RES","CLS","718 S Washington St #101","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/21/23","$268,989","$268,989.00","","BEARINGS NORTH","","1","1","","","No Pool","$485.54","1.00000","0.996","Compass","554","1942","22314","BEARINGS NORTH","82","$270,000","554","48","Maggie C Altomare","Matthew K Allen","Samson Properties (SAMP1)"
"VAAX2029590","RES","ACT","701 N Henry St #204","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/04/23","$443,900","$443,900.00","","","","1","1","","","No Pool","$795.52","","","","558","2023","22314","","1","$443,900","558","47","Ingveldur K Scobie","","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2029262","RES","CLS","501 Slaters Ln #110","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/18/23","$306,500","$300,000.00","","MARINA TOWERS","","1","1","","","Yes - Community","$533.04","1.02167","1.022","Metropol Realty","575","1970","22314","MARINA TOWERS","54","$300,000","575","7","Donna R Hamaker","Arya R Mansouri","William G. Buck & Assoc., Inc. (BUCK1)"
"VAAX2026364","RES","CLS","1808 W Abingdon Dr #302","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/13/23","$292,000","$299,000.00","$385.73","POTOWMACK CROSSING","","1","1","","","No Pool","$505.19","0.97659","0.977","Berkshire Hathaway HomeServices PenFed Realty","578","1942","22314","POTOWMACK CROSSING","82","$299,000","578","35","Jonathan Minerick","Susan O Skare","Homecoin.com (HMECOIN1)"
"VAAX2027924","RES","CLS","1636 W Abingdon Dr W #203","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/15/23","$275,000","$270,000.00","","","","1","1","","","Yes - Community, Yes - Personal","$472.51","1.01852","0.917","TTR Sotheby's International Realty","582","1942","22314","POTOWMACK CROSSING","82","$300,000","582","57","Jordan Muirhead","Michael V Sheridan","Samson Properties (SAMP9)"
"VAAX2028272","RES","CLS","500 Bashford Ln #3321","Alexandria","Alexandria City, VA","1","1","Interior Row/Townhouse","11/03/23","$315,000","$315,000.00","","RIVERTON","","1","1","","","Yes - Community","$541.24","1.00000","1.000","Coldwell Banker Realty","582","1940","22314","RIVERTON","84","$315,000","582","4","Mary G Hurlbut","Tanya M Blosser","Weichert, REALTORS (WEI58)"
"VAAX2025528","RES","CLS","504 Bashford Ln #3103","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/29/23","$315,000","$305,000.00","","RIVERTON  CONDOMINIUM","","1","1","","","Yes - Community","$541.24","1.03279","1.033","McWilliams/Ballard Inc.","582","1940","22314","RIVERTON","84","$305,000","582","8","Tiana C Hickman","Daniel R. Lusk","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2028698","RES","CLS","820-B Washington St #326","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","11/17/23","$249,000","$249,000.00","","NONE AVAILABLE","","1","1","0","","No Pool","$423.47","1.00000","1.000","Long & Foster Real Estate, Inc.","588","1941","22314","","83","$249,000","588","7","Frida Hopper","Leah M Chapla","TTR Sotheby's International Realty (TTRS6)"
"VAAX2025538","RES","CLS","1251 E Abingdon Dr #1121","Alexandria","Alexandria City, VA","1","1","Penthouse Unit/Flat/Apartment","08/31/23","$317,500","$315,000.00","","RIVERTON","","1","1","","","Yes - Community","$538.14","1.00794","1.008","Long & Foster Real Estate, Inc.","590","1940","22314","RIVERTON","84","$315,000","590","5","Betsy Gorman","Laura C Mensing","RLAH @properties (RLAH3)"
"VAAX2028598","RES","CLS","416 Bashford Ln #102","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","11/16/23","$346,500","$339,900.00","","POTOMAC SHORES","","1","1","","","No Pool","$583.33","1.01942","1.019","Coldwell Banker Realty","594","1942","22314","POTOMAC SHORES","82","$339,900","594","3","Carolina Soto","Susan E Batchelder","Acquire Real Estate LLC (AQRE1)"
"VAAX2029466","RES","CLS","715 S Washington St #A-35","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","01/10/24","$303,000","$299,500.00","","OLD TOWN GARDENS","","1","1","","","Yes - Community","$499.18","1.01169","1.012","Compass","607","1940","22314","OLD TOWN GARDENS","84","$299,500","607","4","Christopher J White","Melissa J Lango","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2027552","RES","CLS","1704 W Abingdon Dr #302","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/17/23","$257,000","$269,000.00","","POTOWMACK CROSSING","","1","1","","","Yes - Community","$421.31","0.95539","0.955","KW Metro Center","610","1942","22314","POTOWMACK CROSSING","82","$269,000","610","13","Phyllis G Patterson","Brian J Adem","TTR Sotheby's International Realty (TTRS6)"
"VAAX2025510","RES","CLS","1622 W Abingdon Dr #202","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/18/23","$302,000","$295,000.00","","POTOWMACK CROSSING","","1","1","","","Yes - Community","$495.08","1.02373","1.024","Samson Properties","610","1942","22314","POTOWMACK CROSSING","82","$295,000","610","6","Margot Lynn","Ronald W Gallier II","McEnearney Associates, Inc. (MCE1)"
"VAAX2028130","RES","CLS","1604 W Abingdon Dr #301","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/27/23","$302,500","$300,000.00","","POTOWMACK CROSSING","","1","1","","","Yes - Community","$495.90","1.00833","1.008","City Chic Real Estate","610","1942","22314","POTOWMACK CROSSING","82","$300,000","610","7","Robert M Jennings","Katherine Geffken","Compass (COMPS6)"
"VAAX2027162","RES","CLS","1205 N Pitt St #3A","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","10/13/23","$382,000","$389,000.00","","","","1","1","0","","Yes - Community","$625.20","0.98201","0.982","Compass","611","1944","22314","","80","$389,000","611","2","Kolleen P Kennedy","Katrina L Schymik Abjornson","McEnearney Associates, Inc. (MCE3)"
"VAAX2029064","RES","CLS","1113 N Pitt St #3A","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/15/23","$399,000","$399,000.00","","","","1","1","","","Yes - Community","$653.03","1.00000","1.000","Engel & Volkers Washington, DC","611","1944","22314","","80","$399,000","611","6","John Moore","Jonathan L Bartlett","Compass (COMPS6)"
"VAAX2028440","RES","CLS","1107 N Pitt St N #1A","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","11/27/23","$410,000","$415,000.00","","CANAL PLACE","","1","1","0","","Yes - Community","$671.03","0.98795","0.988","Compass","611","1944","22314","","80","$415,000","611","24","Geoffrey M. Schwartzman","William D Morningstar","SGS Real Estate (SGSP1)"
"VAAX2027680","RES","CLS","1113 N Pitt St #2A","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/10/23","$410,000","$399,000.00","","","","1","1","","","Yes - Community","$671.03","1.02757","1.028","EXP Realty, LLC","611","1944","22314","","80","$399,000","611","0","John Moore","Hanna Rose Radostitz","Compass (COMPS6)"
"VAAX2027164","RES","CLS","1113 N Pitt St #1A","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/25/23","$420,000","$399,000.00","","","","1","1","","","Yes - Community","$687.40","1.05263","1.053","Long & Foster Real Estate, Inc.","611","1944","22314","","80","$399,000","611","4","John Moore","Tiana C Hickman","Compass (COMPS6)"
"VAAX2028186","RES","CLS","125 N Lee St #DH-403","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/01/23","$495,000","$499,990.00","","TORPEDO FACTORY","","1","1","","","No Pool","$803.57","0.99002","0.990","Compass","616","1985","22314","TORPEDO FACTORY","39","$499,990","616","21","Sharon LaRowe","Christopher Junior","Long & Foster Real Estate, Inc. (LNG336)"
"VAAX2025138","RES","CLS","1312 King Street #209","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/17/23","$529,900","$529,900.00","","NONE AVAILABLE","","1","1","","","No Pool","$858.83","1.00000","1.000","Keller Williams Capital Properties","617","2023","22314","","1","$529,900","617","37","Timur Loynab","Adam Bauer Belasco","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2017534","RES","CLS","1010 Prince St #1","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","07/28/23","$386,000","$399,900.00","","COURTS","","1","1","0","","No Pool","$622.58","0.96524","0.924","EXIT Landmark Realty Lorton","620","1814","22314","THE COURTS","210","$417,900","620","114","Lisa A Thompson","William A Carter","Weichert, REALTORS (WEI70)"
"VAAX2024206","RES","CLS","309 Holland Ln #338","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","07/31/23","$390,500","$400,000.00","","ROYALTON AT KING STREET METRO","","1","1","","","No Pool","$605.43","0.97625","0.976","Long & Foster Real Estate, Inc.","645","2006","22314","ROYALTON AT KING STREET METRO","18","$400,000","645","15","Sue S Goodhart","Nathan H Shapiro","Compass (COMPS8)"
"VAAX2028980","RES","CLS","1409 E Abingdon Dr ##2","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/01/23","$315,000","$310,000.00","","HARBOR TERRACE","","1","1","","","No Pool","$466.67","1.01613","1.016","Keller Williams Realty","675","1944","22314","HARBOR TERRACE","80","$310,000","675","4","Christine M Fischer","Hassan Rahmani","McEnearney Associates, Inc. (MCE6)"
"VAAX2025338","RES","CLS","1200 Braddock Pl #308","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","07/24/23","$415,000","$409,000.00","","BRADDOCK PLACE","","1","1","","","Yes - Community","$613.91","1.01467","1.015","Redfin Corp","676","1990","22314","BRADDOCK PLACE","34","$409,000","676","4","Greg W Hudgins","Andre Margutti","Century 21 Redwood Realty (RDWG2)"
"VAAX2027146","RES","CLS","1718 W Abingdon Dr #302","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/29/23","$260,000","$269,000.00","","POTOWMACK CROSSING","","1","1","","","Yes - Community","$380.67","0.96654","0.932","Berkshire Hathaway HomeServices PenFed Realty","683","1942","22314","POTOWMACK CROSSING","82","$279,000","683","16","Phyllis G Patterson","Stephen I Hales","TTR Sotheby's International Realty (TTRS6)"
"VAAX2027318","RES","CLS","1618 W Abingdon Dr #302","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/22/23","$275,000","$299,900.00","","POTOWMACK CROSSING","","1","1","","","Yes - Community","$402.64","0.91697","0.917","Compass","683","1942","22314","POTOWMACK CROSSING","82","$299,900","683","7","Marcia Burgos-Stone","Karen Schiro","Redfin Corporation (REFC1)"
"VAAX2028960","RES","CLS","1718 W Abingdon Dr W #202","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","12/04/23","$282,000","$289,000.00","","POTOWMACK CROSSI","","1","1","0","","Yes - Community","$412.88","0.97578","0.976","eXp Realty LLC","683","1942","22314","POTOWMACK CROSSING","82","$289,000","683","18","Sarah Harrington","Trish Marcaida","Long & Foster Real Estate, Inc. (LNG80)"
"VAAX2025552","RES","CLS","1735 Cameron St","Alexandria","Alexandria City, VA","2","2/0","Interior Row/Townhouse","08/11/23","$705,000","$659,900.00","","","0.02","0","0","0","","No Pool","$1,021.74","1.06834","1.068","Coldwell Banker Realty","1,035","1940","22314","BAGGETT","84","$659,900","690","8","Cheryl Monno","Christopher Paul Yurko","Seaport Properties LLC (SPRP1)"
"VAAX2025760","RES","CLS","220 N Saint Asaph St #7","Alexandria","Alexandria City, VA","2","1/0","Unit/Flat/Apartment","08/18/23","$470,000","$465,000.00","","WHALES TAIL","","2","1","0","","No Pool","$680.17","1.01075","1.011","Compass","691","1974","22314","WHALES TAIL","50","$465,000","691","5","Donnan C. C Wintermute","Anne C DiBenedetto","Coldwell Banker Realty (CBRB54)"
"VAAX2026760","RES","CLS","220 N St Asaph St #16","Alexandria","Alexandria City, VA","2","1","End of Row/Townhouse","08/25/23","$455,000","$455,000.00","","WHALES TAIL","","2","1","","","No Pool","$649.07","1.00000","1.000","Coldwell Banker Realty","701","1974","22314","WHALES TAIL","50","$455,000","701","3","Brenda Gail Brown","Carol C Temple","Compass (COMPS7)"
"VAAX2028034","RES","CLS","815 N Patrick St #404","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","10/25/23","$427,500","$427,500.00","","OLD TOWN COMMONS","","1","1","0","","No Pool","$596.23","1.00000","1.000","RLAH @properties","717","2013","22314","OLD TOWN COMMONS","11","$427,500","717","3","Ashley Brudowsky","Wendi James","Real Broker, LLC (REKL1)"
"VAAX2027376","RES","CLS","815 N Patrick St #305","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/06/23","$430,000","$430,000.00","","OLD TOWN COMMONS","","1","1","","","No Pool","$599.72","1.00000","1.000","","717","2013","22314","OLD TOWN COMMONS","11","$430,000","717","20","Steve Capalbo","Nadia Falivena Clancy","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2028486","RES","CLS","520 John Carlyle St #331","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/21/23","$432,000","$435,000.00","","CONDOS AT CARLYLE SQUARE","","1","1","","","No Pool","$591.78","0.99310","0.993","RLAH @properties","730","2007","22314","CARLYLE SQUARE","17","$435,000","730","47","AnaMaria Rivas-Beck","Andrea Hitt Hewitt","Weichert, REALTORS (WEI58)"
"VAAX2027208","RES","ACT","801 N Fairfax St #141","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","01/03/24","$599,900","$599,900.00","","","","1","1","","","No Pool","$817.30","","","","734","2022","22314","","2","$599,900","734","18","Ingveldur K Scobie","","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2022652","RES","CLS","801 N Fairfax St #139","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","10/02/23","$585,000","$599,900.00","","","","1","1","","","No Pool","$797.00","0.97516","0.975","Compass","734","2022","22314","","2","$599,900","734","138","Ingveldur K Scobie","Marcella J Covarrubias","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2025254","RES","CLS","1600 Prince St #606","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/23/23","$405,000","$410,000.00","","1600 PRINCE STREET","","1","1","","","No Pool","$548.78","0.98780","0.988","Long & Foster Real Estate, Inc.","738","1982","22314","1600 PRINCE STREET","42","$410,000","738","1","Michael C Manuel","Michael C Manuel","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2025742","RES","CLS","925 N Fairfax St #602","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/10/23","$599,900","$599,900.00","","","","1","1","","","No Pool","$799.87","1.00000","1.000","Redfin Corporation","750","2020","22314","","4","$599,900","750","7","Nicholas E Africano","Ferid Azakov","Compass (COMPS7)"
"VAAX2026110","RES","CLS","309 Holland Ln #229","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/25/23","$430,000","$434,900.00","","ROYALTON AT KING STREET METRO","","1","1","","","No Pool","$571.81","0.98873","0.989","KW Metro Center","752","2006","22314","ROYALTON AT KING STREET METRO","18","$434,900","752","5","Susan Anthony","Michael M. Adams","McEnearney Associates, Inc. (MCE1)"
"VAAX2026180","RES","CLS","925 N Fairfax St #207","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/25/23","$599,900","$599,900.00","","","","1","1","","","No Pool","$778.08","1.00000","1.000","McWilliams/Ballard Inc.","771","2023","22314","","1","$599,900","771","26","Carley Abbott","Carley Abbott","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2028524","RES","CLS","925 N Fairfax St #208","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","11/20/23","$605,000","$594,900.00","","","","1","1","","","No Pool","$784.70","1.01698","1.017","Century 21 Redwood Realty","771","2023","22314","","1","$594,900","771","25","Carley Abbott","Lisa Glikbarg","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2027476","RES","CLS","801 N Fairfax St #313","Alexandria","Alexandria City, VA","2","1","Unit/Flat/Apartment","11/20/23","$589,000","$615,000.00","","","","2","1","","","No Pool","$760.00","0.95772","0.928","TTR Sotheby's International Realty","775","2022","22314","","2","$635,000","775","52","Robert A Sanders","Robert A Sanders","TTR Sotheby's International Realty (TTRS5)"
"VAAX2021232","RES","CLS","801 N Fairfax St #415","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","11/30/23","$650,000","$674,900.00","","","","1","1","","","No Pool","$838.71","0.96311","0.942","McWilliams/Ballard Inc.","775","2022","22314","","2","$689,900","775","219","Ingveldur K Scobie","Ingveldur K Scobie","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2028592","RES","CLS","400 Madison St #2105","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","01/08/24","$590,000","$599,900.00","","ALEXANDRIA HOUSE","","1","1","","","Yes - Community","$760.31","0.98350","0.922","Long & Foster Real Estate, Inc.","776","1975","22314","ALEXANDRIA HOUSE","49","$640,000","776","37","Marcella J Covarrubias","Leah M Chapla","Compass (COMPS7)"
"VAAX2027610","RES","CLS","1111 Oronoco St #525","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/08/23","$449,000","$449,000.00","","THE HENRY","","1","1","","","No Pool","$574.90","1.00000","1.000","Keller Williams Capital Properties","781","2008","22314","THE HENRY","16","$449,000","781","28","Blake Hering","Sheena Saydam","Samson Properties (SAMP37)"
"VAAX2028856","RES","CLS","801 N Pitt St N #1601","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","01/03/24","$341,000","$339,900.00","","PORT ROYAL","","1","1","0","","No Pool","$434.39","1.00324","1.003","Compass","785","1965","22314","PORT ROYAL","59","$339,900","785","57","Jonathan Granlund","Devon O'Reilly","Real Broker, LLC (REKL1)"
"VAAX2028458","RES","CLS","2050 Jamieson Ave #1004","Alexandria","Alexandria City, VA","1","1/0","Other","12/15/23","$410,000","$419,000.00","","THE JAMIESON","","1","1","0","","No Pool","$522.29","0.97852","0.979","RLAH @properties","785","2008","22314","THE JAMIESON","16","$419,000","785","31","Sue S Goodhart","Jason C Lallis","Compass (COMPS7)"
"VAAX2028320","RES","CLS","801 N Pitt St #1008","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","12/01/23","$296,000","$300,000.00","","PORT ROYAL","","1","1","","","No Pool","$376.11","0.98667","0.925","TTR Sotheby's International Realty","787","1965","22314","PORT ROYAL","59","$320,000","787","40","Lisa W Groover","Rachel Lynette Cuba","McEnearney Associates, Inc. (MCE1)"
"VAAX2025130","RES","CLS","2151 Jamieson Ave #2108","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","08/07/23","$435,000","$435,000.00","","","","1","1","","","Yes - Community","$547.86","1.00000","1.000","RE/MAX Allegiance","794","1999","22314","","25","$435,000","794","2","Tamoley Curran","Dillon B Clark","McEnearney Associates, Inc. (MCE1)"
"VAAX2030264","RES","ACT","820b S Washington St #229","Alexandria","Alexandria City, VA","2","1","Unit/Flat/Apartment","01/18/24","$395,000","$395,000.00","","","","2","1","","","No Pool","$493.75","","","","800","1941","22314","","83","$395,000","800","2","Christopher J White","","Long & Foster Real Estate, Inc. (LNG183)"
"VAAX2025354","RES","CLS","804 Green St","Alexandria","Alexandria City, VA","2","1/1","Interior Row/Townhouse","08/22/23","$635,000","$649,000.00","","","0.03","0","0","0","","No Pool","$793.75","0.97843","0.978","Long & Foster Real Estate, Inc.","1,200","1942","22314","HUNTING CREEK","82","$649,000","800","4","Edward B Murphy","victoria Van Horne","Samson Properties (SAMP1)"
"VAAX2026046","RES","CLS","715 S Fayette St","Alexandria","Alexandria City, VA","2","2","Interior Row/Townhouse","08/31/23","$775,000","$749,000.00","","","0.04","","","","","No Pool","$968.75","1.03471","1.035","Compass","1,200","1948","22314","","76","$749,000","800","4","Heather Fry","Mary A Farrell","Capital Center (CPTT1)"
"VAAX2029230","RES","CLS","713 S Fayette St","Alexandria","Alexandria City, VA","2","2","Interior Row/Townhouse","12/04/23","$800,000","$789,900.00","","","0.04","","","","","No Pool","$1,000.00","1.01279","1.013","Compass","1,120","1948","22314","","76","$789,900","800","3","Lauren Longshore","Henry Harries","Compass (COMPS6)"
"VAAX2030046","RES","CLS","1312 King Street #206","Alexandria","Alexandria City, VA","2","1","Unit/Flat/Apartment","01/09/24","$710,000","$669,900.00","","NONE AVAILABLE","","2","1","","","No Pool","$879.80","1.05986","1.060","Samson Properties","807","2023","22314","","1","$669,900","807","1","Timur Loynab","Victoria Zhao","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2025926","RES","CLS","1312 King Street #406","Alexandria","Alexandria City, VA","2","1","Unit/Flat/Apartment","08/25/23","$719,900","$679,900.00","","NONE AVAILABLE","","2","1","","","No Pool","$892.07","1.05883","1.059","EXP Realty, LLC","807","2023","22314","","1","$679,900","807","1","Timur Loynab","Kay Houghton","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2029498","RES","CLS","1312 King Street #306","Alexandria","Alexandria City, VA","2","1","Unit/Flat/Apartment","01/11/24","$724,900","$674,900.00","","NONE AVAILABLE","","2","1","","","No Pool","$898.27","1.07409","1.074","Pearson Smith Realty, LLC","807","2023","22314","","1","$674,900","807","13","Timur Loynab","Michael C Middleton","McWilliams/Ballard Inc. (MCWB1)"
"VAAX2026214","RES","CLS","801 S Pitt St #429","Alexandria","Alexandria City, VA","1","1","Unit/Flat/Apartment","09/12/23","$460,000","$448,000.00","","ST ASAPH SQUARE","","1","1","","","Yes - Community","$565.11","1.02679","1.027","Nesbitt Realty","814","1982","22314","ST ASAPH SQUARE","42","$448,000","814","5","Kristina Inglis","Stuart W Nesbitt","KW United (KWR30)"
"VAAX2028512","RES","CLS","314 N Saint Asaph St","Alexandria","Alexandria City, VA","2","1","Interior Row/Townhouse","11/30/23","$660,000","$649,500.00","","BROCKETTS CROSSING","","","","","","No Pool","$808.82","1.01617","1.016","Douglas Elliman of Metro DC, LLC","816","1976","22314","BROCKETTS CROSSING","48","$649,500","816","9","Jennifir L Birtwhistle","Michael J Roschke","KW Metro Center (KWR19)"
